channel_title,title,views,likes,dislikes
PewDiePie,WALK IN THE WOODS WITH A LOGAN PAUL MEME,7678343,433754,28404
Latino Vicente,Miss World 2017 - Crowning Moment,7664480,104444,3865
MigosVEVO,Migos - Walk It Talk It ft. Drake,7662927,432897,11671
20th Century Fox,Bohemian Rhapsody | Teaser Trailer [HD] | 20th Century FOX,7641675,250546,4393
Lele Pons,Anitta & J Balvin - Downtown (Official Lyric Video) ft. Lele Pons & Juanpa Zurita,7605524,580076,16326
Daddy Yankee,Daddy Yankee - Hielo (Video Oficial),7600119,388819,19428
LFP Gaming,Fortnite: ALL 38 emotes and dances + Their real life original references,7582775,87031,17790
Blossom,I Got 99 Problems But Being A Girl Ain't One! DIY Girls Hacks and More by Blossom,7566372,55220,6577
Clash Royale,CLASH ROYALE: EPIC COMEBACK!,7563532,85112,10259
CelineDionVEVO,Céline Dion - Ashes (from the Deadpool 2 Motion Picture Soundtrack),7562487,208886,5741
PostMaloneVEVO,Post Malone - rockstar ft. 21 Savage,7558742,549729,13588
TRYANGLE FILMS,Voldemort: Origins of the Heir - An unofficial fanfilm (HD + Subtitles),7543621,362004,15066
ibighit,BTS (방탄소년단) 'Euphoria : Theme of LOVE YOURSELF 起 Wonder',7518990,1573030,8113
Gorillaz,Gorillaz - Humility (Official Video),7513047,522388,14233
Guardian News,Yanny vs Laurel video: which name do you hear? – audio,7512073,31902,4256
